,total accidents,Total Killed,Total Seriously Injured,Total Minor Injured,without injury
EXPRESS WAY,124,34,47,8,69
NATIONAL HIGHWAY,2825,1222,1625,900,378
STATE HIGHWAY,2626,1191,1542,828,301
OTHER ROAD,6295,2073,3489,1877,717
